trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-44.151217065809675,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-133.80143620709745,"{0: 16, 1: 3, 2: 2, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",35,0,-154.6514525602832,"{0: 23, 1: 1, 2: 8, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-85.24825388895127,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",35,0,-168.02104859281317,"{0: 19, 1: 4, 2: 10, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-26.415943814811023,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-52.39047276704606,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",1
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-197.2805250208711,"{0: 16, 1: 5, 2: 5, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-166.44434615164766,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-54.935724238450355,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-153.6204779904809,"{0: 20, 1: 0, 2: 7, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-151.95613493281564,"{0: 10, 1: 2, 2: 3, 3: 4, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-107.72853911571411,"{0: 18, 1: 4, 2: 7, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",35,0,-210.2098812143611,"{0: 16, 1: 7, 2: 8, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-107.52094935360942,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,3,-44.49377448020917,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-200.00849151979963,"{0: 20, 1: 2, 2: 3, 3: 1, 4: 4}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-124.83166891231623,"{0: 16, 1: 2, 2: 3, 3: 3, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-146.40010440339628,"{0: 18, 1: 2, 2: 8, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-112.28515972212857,"{0: 17, 1: 6, 2: 4, 3: 3, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-125.11810123279288,"{0: 17, 1: 5, 2: 5, 3: 3, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-108.72436641806583,"{0: 21, 1: 1, 2: 6, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-245.26921140009097,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 5}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-54.051482882870054,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",35,0,-130.02399264271634,"{0: 22, 1: 3, 2: 8, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-73.74969867351919,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-61.72849278347818,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-166.28154230891306,"{0: 17, 1: 5, 2: 4, 3: 2, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,4.891370841696449,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-134.32046748580078,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
